（1）第四班 - 1650米 - (60-40)
48.5	91.0	H 5 - 8-1/4
16.5		h Q - 1-1/4
31.0
（2）第四班 - 1650米 - (60-40)
309.0	183.0	H Q - 頸位
11.0		h 8 - 7-1/2
20.0
（3）第五班 - 1800米 - (40-0)
21.5	206.5	H W + 2-1/2
48.0		h 5 - 4-1/2
40.0
（4）第四班 - 1200米 - (60-40)
38.5	48.5	H Q - 2-1/4
12.5		h W + 2-1/4
21.0
（5）第四班 - 1200米 - (60-40)
30.5	121.5	H W + 3/4
24.0		h 5 - 5-1/2
26.5
（6）第三班 - 1200米 - (80-60)
229.0	347.0	H 8 - 3
14.0		h Q - 1/2
41.0
（7）第二班 - 1200米 - (100-80)
96.5	112.0	H Q - 3/4
11.5		h 10 - 12
18.0
（8）第三班 - 1650米 - (80-60)
76.0	149.5	H Q - 4-3/4
18.5		h P - 7-1/4
17.0
 $0 (另有$0回馈)
