日期	場次	班次	長度	分數範圍	場地	賽道	名次	馬號	馬名	騎師	練馬師	實際負磅	排位體重	檔位	頭馬距離	沿途走位	完成時間	獨贏賠率	熱門	投注	皇牌	配備	操練	地點  度地儀	P賠率	P賠率2	P賠率3	Queue賠率	PQ賠率	PQ賠率2 PQ賠率3
2019/9/1	2	第五班	1200米	(40-0)	好地	草地 - "B" 賽道	14	6	劍追聲(B445)	田泰安	告東尼	131	1020	2	11	6 6 14	1:11.77	24	-	-	+ 1	B/TT		沙田	2.71							
2019/9/1	3	第一班	1200米	(90+)	好地	草地 - "B" 賽道	1	5	帝豪福星(B348)	潘頓	沈集成	120	1099	5	-	2 2 1	1:08.74	1.6	1st Hot	-		TT		沙田	2.71	10.1			42.0	20.5	102.0	
2019/9/1	3	第一班	1200米	(90+)	好地	草地 - "B" 賽道	2	2	四季旺(V410)	薛恩	沈集成	132	1049	1	1-1/2	6 5 2	1:08.99	8.1	-	-		TT		沙田	2.71		16.5		42.0	20.5		264.5
2019/9/1	3	第一班	1200米	(90+)	好地	草地 - "B" 賽道	3	6	旌暉(V077)	潘明輝	姚本輝	115	1078	7	2-1/2	5 6 3	1:09.15	50	-	-		B2		沙田	2.71			66.0			102.0	264.5
2019/9/1	3	第一班	1200米	(90+)	好地	草地 - "B" 賽道	4	7	薈力之城(B280)	莫雷拉	約翰摩亞	115	1168	2	4	1 1 4	1:09.40	3.9	2nd Hot	-		B		沙田	2.71							
2019/9/1	3	第一班	1200米	(90+)	好地	草地 - "B" 賽道	5	1	有理共想(B180)	田泰安	高伯新	133	1167	4	5	3 3 5	1:09.52	8.8	-	-		B		沙田	2.71							
2019/9/1	3	第一班	1200米	(90+)	好地	草地 - "B" 賽道	6	3	勝得威(A025)	杜美爾	告東尼	124	1096	3	6	7 7 6	1:09.71	35	-	-		CP2/TT		沙田	2.71							
2019/9/1	3	第一班	1200米	(90+)	好地	草地 - "B" 賽道	7	4	加州福星(A415)	沈拿	韋達	120	1256	6	6-1/4	4 4 7	1:09.73	28	-	-		B/TT		沙田	2.71							
2019/9/1	4	第四班	1200米	(60-40)	好地	草地 - "B" 賽道	1	3	加州更好(B204)	杜美爾	告東尼	130	1119	11	-	2 3 1	1:09.42	8.5	-	-	+ 1	B/TT		沙田	2.71	27.5			209.5	90.0	111.0	
2019/9/1	4	第四班	1200米	(60-40)	好地	草地 - "B" 賽道	2	10	老友威威(T349)	薛恩	葉楚航	124	1198	1	1-1/2	9 9 2	1:09.68	4.6	2nd Hot	-	+ 1	TT		沙田	2.71		16.0		209.5	90.0		46.5
