2019/9/1	3	一	1200米	(90+)	好	田草B	6	3	勝得威(A025)	杜美爾	告東尼	124	1096	3	6	7 7 6	1:09.71	35	-	-		CP2/TT	-	108	0	沙田	2.71							
2019/9/1	3	一	1200米	(90+)	好	田草B	7	4	加州福星(A415)	沈拿	韋達	120	1256	6	6-1/4	4 4 7	1:09.73	28	-	-		B/TT	-	104	0	沙田	2.71							
2019/9/1	4	四	1200米	(60-40)	好	田草B	1	3	加州更好(B204)	杜美爾	告東尼	130	1119	11	-	2 3 1	1:09.42	8.5	-	-	+ 1	B/TT	5	56	0	沙田	2.71	27.5			209.5	90.0	111.0	
2019/9/1	4	四	1200米	(60-40)	好	田草B	2	10	老友威威(T349)	薛恩	葉楚航	124	1198	1	1-1/2	9 9 2	1:09.68	4.6	2nd Hot	-	+ 1	TT	8	50	0	沙田	2.71		16.0		209.5	90.0		46.5
2019/9/1	4	四	1200米	(60-40)	好	田草B	3	2	順意寶(B164)	何澤堯	韋達	132	1132	5	1-3/4	12 11 3	1:09.70	4.2	1st Hot	-	+ 1	CP-	5	58	0	沙田	2.71			19.5			111.0	46.5
2019/9/1	4	四	1200米	(60-40)	好	田草B	4	6	電子群星(C132)	梁家俊	文家良	129	1027	12	1-3/4	5 5 4	1:09.71	34	-	-	1	H	4	55	0	沙田	2.71							
2019/9/1	4	四	1200米	(60-40)	好	田草B	5	5	傳奇(V357)	潘頓	呂健威	130	1137	8	2-1/4	10 10 5	1:09.78	6.2	-	-	+ 1	B/TT	7	56	0	沙田	2.71							
2019/9/1	4	四	1200米	(60-40)	好	田草B	6	9	一路順風(C453)	莫雷拉	苗禮德	124	1114	4	2-3/4	6 6 6	1:09.85	39	-	-	1	 	4	50	0	沙田	2.71							
2019/9/1	4	四	1200米	(60-40)	好	田草B	7	8	水箭龜(C450)	郭能	霍利時	124	1027	7	3	8 8 7	1:09.92	17	-	-	+ 1	 	4	50	0	沙田	2.71							
2019/9/1	4	四	1200米	(60-40)	好	田草B	8	14	電訊火箭(C137)	田泰安	徐雨石	118	1056	10	3-1/4	7 7 8	1:09.93	7.8	-	-	1	 	5	44	0	沙田	2.71							
2019/9/1	4	四	1200米	(60-40)	好	田草B	9	4	銀時(C216)	楊明綸	容天鵬	128	1123	3	3-3/4	4 4 9	1:10.00	18	-	-	1	 	5	56	0	沙田	2.71							
2019/9/1	4	四	1200米	(60-40)	好	田草B	10	11	贏多多(C004)	李寶利	丁冠豪	123	1062	9	4	13 13 10	1:10.07	14	-	-	+ 1	CP/H	5	49	0	沙田	2.71							
2019/9/1	4	四	1200米	(60-40)	好	田草B	11	12	創紀錄(C168)	黎海榮	沈集成	121	1096	6	4-1/2	11 12 11	1:10.15	238	-	-	1	B/TT	4	47	0	沙田	2.71							
2019/9/1	4	四	1200米	(60-40)	好	田草B	12	1	大四喜(A301)	陳嘉熙	約翰摩亞	122	1208	14	7-1/4	3 2 12	1:10.59	15	-	-	+ 1	B/TT	-	58	0	沙田	2.71							
2019/9/1	4	四	1200米	(60-40)	好	田草B	13	7	馬驕雄(B455)	蔡明紹	蘇偉賢	125	969	2	7-3/4	14 14 13	1:10.68	82	-	-	1	 	5	51	0	沙田	2.71							
2019/9/1	4	四	1200米	(60-40)	好	田草B	14	13	自由旺(A209)	貝力斯	方嘉柏	121	1085	13	14	1 1 14	1:11.64	28	-	-	1	H/XB	-	47	0	沙田	2.71							
2019/9/1	5	四	1400米	(60-40)	好	田草B	1	6	熱血鬥士(C360)	杜美爾	告東尼	126	1141	6	-	6 6 6 1	1:22.05	5.6	2nd Hot	-	1	TT	5	52	0	沙田	2.71	23.5			271.0	103.5	200.5	
2019/9/1	5	四	1400米	(60-40)	好	田草B	2	11	三圓䮭路(C149)	莫雷拉	葉楚航	118	1111	8	3/4	2 3 2 2	1:22.18	7.6	-	-	+ 1	 	6	44	0	沙田	2.71		24.5		271.0	103.5		268.0
2019/9/1	5	四	1400米	(60-40)	好	田草B	3	3	怪獸都市(A190)	巫顯東	何良	125	1124	9	3/4	1 1 1 3	1:22.20	17	-	-	+ 1	V-/H	6	54	0	沙田	2.71			48.5			200.5	268.0
2019/9/1	5	四	1400米	(60-40)	好	田草B	4	2	珍珠鳳凰(B201)	薛恩	苗禮德	129	1023	2	1-1/2	8 9 7 4	1:22.29	5.9	-	-	+ 1	B	5	55	0	沙田	2.71							
2019/9/1	5	四	1400米	(60-40)	好	田草B	5	5	遨遊神駒(B168)	利敬國	羅富全	127	1123	3	2-1/2	5 5 4 5	1:22.43	7.9	-	-	+ 1	V/TT	-	53	0	沙田	2.71							
2019/9/1	5	四	1400米	(60-40)	好	田草B	6	12	醉醒神(B436)	何澤堯	呂健威	116	1049	13	2-3/4	7 7 8 6	1:22.50	14	-	-	1	H/XB	4	42	0	沙田	2.71							
2019/9/1	5	四	1400米	(60-40)	好	田草B	7	13	探險家(C008)	田泰安	徐雨石	116	1086	14	4-1/4	14 14 13 7	1:22.71	4	1st Hot	-	+ 1	 	4	42	0	沙田	2.71							
2019/9/1	5	四	1400米	(60-40)	好	田草B	8	8	奔馳寶馬(V038)	希威森	蘇保羅	122	1204	10	4-1/4	12 10 10 8	1:22.72	79	-	-	+ 1	B/TT	-	48	0	沙田	2.71							
2019/9/1	5	四	1400米	(60-40)	好	田草B	9	10	牛精輝煌(A118)	潘明輝	鄭俊偉	116	1105	7	4-1/4	13 13 11 9	1:22.74	13	-	-	+ 1	H	7	45	0	沙田	2.71							
2019/9/1	5	四	1400米	(60-40)	好	田草B	10	4	捉金皇(B460)	史卓豐	方嘉柏	127	1133	11	6-1/4	4 4 5 10	1:23.06	20	-	-	1	H/P	4	53	0	沙田	2.71							
2019/9/1	5	四	1400米	(60-40)	好	田草B	11	7	潮州小子(T412)	楊明綸	容天鵬	123	1166	1	7-1/4	9 8 9 11	1:23.20	16	-	-	+ 1	TT	8	51	0	沙田	2.71							
2019/9/1	5	四	1400米	(60-40)	好	田草B	12	1	真妙星(C059)	梁家俊	高伯新	133	1183	5	8-1/4	10 12 12 12	1:23.38	46	-	-	1	B/H	5	59	0	沙田	2.71							
2019/9/1	5	四	1400米	(60-40)	好	田草B	13	14	幸運飛駒(A092)	蘇狄雄	文家良	114	1056	12	9-1/2	3 2 3 13	1:23.55	127	-	-	1	TT	8	42	0	沙田	2.71							
