（1）條件限制賽 - 1400米 
17.0	72.0	H W + 3/4
22.0		h 6 - 5-1/4
16.5
（2）第五班 - 1650米 - (40-0)
93.5	264.5	H 6 - 3
19.0		h Q - 1-1/2
44.5
（3）第四班 - 1200米 - (60-40)
228.5	357.5	H Q - 1/2
15.0		h 6 - 1-1/4
22.5
（4）第四班 - 1650米 - (60-40)
69.0	166.0	H 4 - 2-1/4
21.0		h Q - 短馬頭位
49.5
（5）第三班 - 1200米 - (80-60)
24.5	188.5	H W + 2-1/4
36.0		h 6 - 4-1/2
29.0
（6）第四班 - 1400米 - (60-40)
38.0	78.5	H W + 短馬頭位
17.0		h 4 - 2
111.5
（7）國際三級賽 - 1000米 
27.0	79.0	H P - 2-3/4
18.5		h W + 1-3/4
11.5
（8）第三班 - 1400米 - (80-60)
53.5	253.0	H P - 1/2
27.0		h 12 - 10-3/4
17.5
（9）第二班 - 1650米 - (105-80)
41.0	115.5	H Q - 1/2
16.0		h W + 1/2
18.0
（10）第三班 - 1650米 - (80-60)
250.0	1517.5	H P - 頸位
36.5		h 8 - 3-3/4
18.5
 $0 (另有$0回馈)
