（1）新馬賽 - 1200米 
44.5	173.5	H 7 - 4-3/4
21.5		h 5 - 3
139.0
（2）第四班 - 1400米 - (60-40)
81.5	160.0	H 5 - 3-3/4
15.0		h Q - 短馬頭位	h 4 - 2
31.5
（3）第四班 - 1600米 - (60-40)
30.5	89.5	H W + 1-1/2
17.5		h Q - 1-1/2
232.5
（4）國際三級賽 - 1200米 
23.0	43.5	H W + 頸位
14.5		h Q - 頸位
27.0
（5）第三班 - 1200米 - (80-60)
16.5	48.0	H W + 2-1/4
16.5		h Q - 2-1/4
18.5
（6）第四班 - 1200米 - (60-40)
41.5	1048.5	H 4 - 2-3/4
109.0		h W + 頸位
23.0
（7）第四班 - 1200米 - (60-40)
29.0	660.0	H W + 3/4
93.0		h 6 - 3-3/4
47.0
（8）國際一級賽 - 2400米 
15.0	87.0	H W + 1
30.0		h P - 1-1/4
13.0
（9）第三班 - 1800米 - (80-60)
75.0	158.0	H Q - 短馬頭位
17.5		h 5 - 1/2
30.0
（10）第三班 - 1400米 - (80-60)
68.5	1749.5	H 11 - 15-1/4
80.5		h 7 - 7
441.0
（11）第二班 - 1400米 - (100-80)
125.5	251.5	H Q - 鼻位
17.0		h 8 - 3-1/4
16.0
 $0 (另有$0回馈)
